,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
37,2026-05-12,SZ000786,0.009525446221232414,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
38,2026-05-12,SZ000776,0.034890759736299515,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
39,2026-05-12,SZ000768,0.02285665273666382,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
40,2026-05-12,SZ000725,0.05437689647078514,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
41,2026-05-12,SZ000895,-0.002830807352438569,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
42,2026-05-12,SH688396,0.02627122402191162,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
43,2026-05-12,SH688303,-0.038176558911800385,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
44,2026-05-12,SH688271,0.005665263161063194,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
45,2026-05-12,SH603288,0.04200522601604462,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
46,2026-05-12,SH603260,-0.017753789201378822,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
47,2026-05-12,SH603259,0.012168430723249912,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
48,2026-05-12,SH603195,-0.010603388771414757,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
