,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-04-27,SZ300274,SH688256,SZ300394,SZ300502,SZ300782,SH600741,SZ300476,SH600066,SZ002460,SH601998,SH600309,SH688472,SH601995,SZ000776,SH605117,SZ002459,SH601077,SZ000895,SH601658,SH600886,SZ000630,SH601728,SH600016,SZ000807,SH603799,SZ002466,SZ000333,SH600926,SH601328,SH688041,0.012768971733748913,0.010957837,0.43333333333333335,0.011902305067082246,1.0119023050670823,1.0109578,1.0119023050670823,0.0
1,2026-04-28,SZ300782,SZ300274,SH688256,SZ300502,SZ002460,SH600066,SZ300308,SZ000333,SH601995,SH601328,SH601398,SH605117,SH601825,SZ000895,SH600926,SH600309,SH600741,SZ300750,SH603259,SH601728,SH600019,SH601988,SH601658,SZ300394,SZ300014,SH600150,SZ002463,SH600030,SH601298,SH600015,-0.0010270337807014585,-0.00063198805,0.43333333333333335,-0.001893700447368125,1.009986065219284,1.0103189,1.0119023050670823,-0.0018937004473680726
