,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-04-27,SH600741,SH601995,SH601077,SZ000895,SH601658,SH600886,SH601728,SH600016,SZ000333,SH600926,SH601328,SH601398,SZ002371,SH601169,SZ002074,SH601012,SH600011,SH600900,SH601825,SH601059,SH601456,SZ300628,SH600941,SH601988,SH600795,SH600919,SH600660,SZ002415,SZ002179,SH601985,SH601816,SH601916,SH601939,SH600027,SH601006,SH601607,SH601818,SH600674,SZ000651,SH601236,SH600030,SH601838,SH600036,SH600023,SH601298,SH601288,SH600015,SH600600,SZ002352,SH600905,SH603259,SZ002142,SH601018,SH603195,SH601009,SZ001965,SH600918,SH600845,SZ300999,SZ000538,SH601633,SH600018,SZ000001,SH601166,SH601229,SH603392,SH600377,SH601668,SZ000166,SH601186,SH600887,SH600276,SH600999,SH601618,SH600426,SZ000725,SZ000858,SH603019,SH600085,SH600104,0.000444740813691169,0.010957837,0.1,0.00024474081369116904,1.0002447408136912,1.0109578,1.0002447408136912,0.0
1,2026-04-28,SZ000333,SH601995,SH601328,SH601398,SH601825,SZ000895,SH600926,SH600741,SH603259,SH601728,SH601988,SH601658,SH600030,SH601298,SH600015,SH601077,SZ000001,SH601059,SH601288,SH600919,SH601939,SH601916,SH600016,SH600377,SH600011,SH600023,SZ002415,SH600036,SH600660,SH601006,SH600900,SH601985,SH600845,SH601816,SH600050,SH601456,SH603195,SH600941,SH600085,SH601607,SH600600,SH601236,SH601012,SH600674,SZ002352,SH601668,SH601818,SZ002304,SH600999,SH603019,SZ002074,SZ300628,SH600795,SH600018,SH601618,SH600039,SH601169,SH600905,SZ000651,SZ000876,SH601186,SZ000661,SZ002142,SH601009,SH601117,SH600519,SH601018,SZ000538,SH600426,SH600918,SZ000166,SH601838,SH600027,SH601229,SH600886,SH600000,SZ000858,SH603392,SH600887,SH601633,-0.003484873566776514,-0.00063198805,0.0875,-0.003659873566776514,0.9965839715264799,1.0103189,1.0002447408136912,-0.003659873566776523
