,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-04-27,SH600741,SH601995,SH601077,SZ000895,SH601658,SH600886,SH601728,SH600016,SZ000333,SH600926,SH601328,SH601398,SZ002371,SH601169,SZ002074,SH601012,SH600011,SH600900,SH601825,SH601059,SH601456,SZ300628,SH600941,SH601988,SH600795,SH600919,SH600660,SZ002415,SZ002179,SH601985,-0.0032514273189008236,0.010957837,0.4,-0.004051427318900824,0.9959485726810992,1.0109578,0.9959485726810992,0.0
1,2026-04-28,SZ000333,SH601995,SH601328,SH601398,SH601825,SZ000895,SH600926,SH600741,SH603259,SH601728,SH601988,SH601658,SH600030,SH601298,SH600015,SH601077,SZ000001,SH601059,SH601288,SH600919,SH601939,SH601916,SH600016,SH600377,SH600011,SH600023,SZ002415,SH600036,SH600660,SH601006,-0.005517520476132631,-0.00063198805,0.36666666666666664,-0.0062508538094659645,0.9897230437515233,1.0103189,0.9959485726810992,-0.006250853809465967
