,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-04-27,SZ300274,SH688256,SZ300394,SZ300502,SZ300782,SH600741,SZ300476,SH600066,SZ002460,SH601998,SH600309,SH688472,SH601995,SZ000776,SH605117,SZ002459,SH601077,SZ000895,SH601658,SH600886,SZ000630,SH601728,SH600016,SZ000807,SH603799,SZ002466,SZ000333,SH600926,SH601328,SH688041,SH601398,SZ002371,SH601169,SZ002074,SH601868,SH601012,SH603501,SZ300750,SH600011,SH600019,SH600900,SH601825,SH601059,SH688012,SH600176,SH601456,SZ300628,SH600522,SH600941,SH601988,0.007868539541959763,0.010957837,0.38,0.007108539541959762,1.0071085395419597,1.0109578,1.0071085395419597,0.0
1,2026-04-28,SZ300782,SZ300274,SH688256,SZ300502,SZ002460,SH600066,SZ300308,SZ000333,SH601995,SH601328,SH601398,SH605117,SH601825,SZ000895,SH600926,SH600309,SH600741,SZ300750,SH603259,SH601728,SH600019,SH601988,SH601658,SZ300394,SZ300014,SH600150,SZ002463,SH600030,SH601298,SH600015,SH601077,SZ000807,SZ000001,SH601059,SH601127,SH601288,SH601872,SZ002459,SZ300251,SZ300476,SH600482,SH600176,SH600919,SZ000301,SH603799,SH601939,SH601916,SH600346,SH601998,SH600016,-0.003721678163856268,-0.00063198805,0.44,-0.004601678163856268,1.0024741501669163,1.0103189,1.0071085395419597,-0.004601678163856202
