,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-04-27,SZ300274,SH688256,SZ300394,SZ300502,SZ300782,SH600741,SZ300476,SH600066,SZ002460,SH601998,0.017928510904312134,0.010957837,0.4,0.017128510904312135,1.0171285109043122,1.0109578,1.0171285109043122,0.0
1,2026-04-28,SZ300782,SZ300274,SH688256,SZ300502,SZ002460,SH600066,SZ300308,SZ000333,SH601995,SH601328,0.014259159564971924,-0.00063198805,0.5,0.013259159564971923,1.0306147801284748,1.0103189,1.0306147801284748,0.0
