,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-04-27,SH600741,SH601995,SH601077,SZ000895,SH601658,SH600886,SH601728,SH600016,SZ000333,SH600926,SH601328,SH601398,SZ002371,SH601169,SZ002074,SH601012,SH600011,SH600900,SH601825,SH601059,-0.005849110893905163,0.010957837,0.4,-0.006649110893905163,0.9933508891060948,1.0109578,0.9933508891060948,0.0
1,2026-04-28,SZ000333,SH601995,SH601328,SH601398,SH601825,SZ000895,SH600926,SH600741,SH603259,SH601728,SH601988,SH601658,SH600030,SH601298,SH600015,SH601077,SZ000001,SH601059,SH601288,SH600919,-0.008707595057785511,-0.00063198805,0.4,-0.009507595057785511,0.9839065111021829,1.0103189,0.9933508891060948,-0.009507595057785518
