,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ300782,0.1257950571167244,0.8666666666666667,-0.023139596,0.148934653102137,0.148934653102137,,,2026-04-28,1.0920624,1.1120925
1,1,SZ300274,0.1189704076822518,1.0,-0.0047777295,0.12374813719351278,0.12374813719351278,,,2026-04-28,11.052303,11.223662
2,2,SH688256,0.0965951611023435,0.8666666666666667,0.20000279,-0.103407628395032,0.103407628395032,SH688256,寒武纪,2026-04-28,0.031401284,0.037681628
3,3,SZ300502,0.0867395459278035,0.9333333333333332,-0.020874262,0.1076138077838826,0.1076138077838826,,,2026-04-28,80.135254,81.92616
4,4,SZ002460,0.0573303127017976,0.7333333333333333,0.020483255,0.03684705731544506,0.03684705731544506,,,2026-04-28,4.9540443,5.19861
5,5,SH600066,0.0572101618694085,1.0,-0.014199257,0.07140941876638116,0.07140941876638116,SH600066,宇通客车,2026-04-28,263.63962,270.0979
6,6,SZ300308,0.0563563783175021,0.7333333333333333,0.0147919655,0.04156441283288296,0.04156441283288296,,,2026-04-28,77.4635,80.276344
7,7,SZ000333,0.0448732276670041,1.0,-0.0025948286,0.047468056272655955,0.047468056272655955,,,2026-04-28,1.4497572,1.4646988
8,8,SH601995,0.0434177821704838,0.9333333333333332,-0.005925536,0.049343318326184486,0.049343318326184486,SH601995,中金公司,2026-04-28,0.025666561,0.025884131
9,9,SH601328,0.0421607877448165,0.8,-0.021175206,0.06333599345236654,0.06333599345236654,SH601328,交通银行,2026-04-28,0.2804681,0.27989402
10,10,SH601398,0.0416385203469624,1.0,-0.0026809573,0.044319477664314696,0.044319477664314696,SH601398,工商银行,2026-04-28,4.3280215,4.3511653
11,11,SH605117,0.041614517164234,0.6666666666666666,0.020328522,0.021285995435718373,0.021285995435718373,SH605117,德业股份,2026-04-28,1.9830787,2.0928545
12,12,SH601825,0.0405495634680072,1.0,0.0050632954,0.035486268103627316,0.035486268103627316,SH601825,沪农商行,2026-04-28,0.13719289,0.13827568
13,13,SZ000895,0.0399952293149264,1.0,0.003981948,0.03601328141606165,0.03601328141606165,,,2026-04-28,67.64971,68.65383
