,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ000333,0.0448732276670041,1.0,-0.0025948286,0.047468056272655955,0.047468056272655955,,,2026-04-28,1.4497572,1.4646988
1,1,SH601995,0.0434177821704838,0.9333333333333332,-0.005925536,0.049343318326184486,0.049343318326184486,SH601995,中金公司,2026-04-28,0.025666561,0.025884131
2,2,SH601328,0.0421607877448165,0.8,-0.021175206,0.06333599345236654,0.06333599345236654,SH601328,交通银行,2026-04-28,0.2804681,0.27989402
3,3,SH601398,0.0416385203469624,1.0,-0.0026809573,0.044319477664314696,0.044319477664314696,SH601398,工商银行,2026-04-28,4.3280215,4.3511653
4,4,SH601825,0.0405495634680072,1.0,0.0050632954,0.035486268103627316,0.035486268103627316,SH601825,沪农商行,2026-04-28,0.13719289,0.13827568
5,5,SZ000895,0.0399952293149264,1.0,0.003981948,0.03601328141606165,0.03601328141606165,,,2026-04-28,67.64971,68.65383
6,6,SH600926,0.0399548052086937,1.0,0.0,0.0399548052086937,0.0399548052086937,SH600926,杭州银行,2026-04-28,0.2792115,0.28226033
7,7,SH600741,0.0386762974284514,0.7333333333333333,-0.026090682,0.06476697898133836,0.06476697898133836,SH600741,华域汽车,2026-04-28,24.608204,24.685535
8,8,SH603259,0.0360250106987229,0.7333333333333333,-0.014631093,0.05065610324709326,0.05065610324709326,SH603259,药明康德,2026-04-28,0.74456507,0.7434717
9,9,SH601728,0.0353574204455509,0.9333333333333332,-0.0013660789,0.03672349929915808,0.03672349929915808,SH601728,中国电信,2026-04-28,0.23763081,0.2393433
10,10,SH601988,0.0340077747224955,1.0,-0.0066845417,0.040692316424766006,0.040692316424766006,SH601988,中国银行,2026-04-28,2.6909537,2.7200656
11,11,SH601658,0.0339387542491634,0.8666666666666667,-0.015691936,0.04963069026524616,0.04963069026524616,SH601658,邮储银行,2026-04-28,0.30318177,0.3019075
12,12,SH600030,0.0268301400387552,0.8,-0.003639996,0.03047013609054353,0.03047013609054353,SH600030,中信证券,2026-04-28,47.94411,48.75336
13,13,SH601298,0.0266895746699566,0.8666666666666667,-0.01819688,0.04488645548736993,0.04488645548736993,SH601298,青岛港,2026-04-28,0.36754447,0.36680767
14,14,SH600015,0.0260417180796961,0.8666666666666667,-0.04690641,0.07294812972749273,0.07294812972749273,SH600015,华夏银行,2026-04-28,5.422803,5.349144
15,15,SH601077,0.0258030345378798,0.9333333333333332,-0.009354591,0.035157625907508705,0.035157625907508705,SH601077,渝农商行,2026-04-28,0.17784631,0.17911737
16,16,SZ000001,0.0254736087873657,0.8,-0.0025994182,0.02807302695066526,0.02807302695066526,,,2026-04-28,1.3291625,1.3384056
17,17,SH601059,0.0252743112362025,0.9333333333333332,0.0064668655,0.018807445696651718,0.018807445696651718,SH601059,信达证券,2026-04-28,0.12202995,0.12360811
18,18,SH601288,0.0241449805282648,0.8666666666666667,-0.003211379,0.027356359579473296,0.027356359579473296,SH601288,农业银行,2026-04-28,4.7917066,4.8299403
19,19,SH600919,0.0200265072001444,0.8666666666666667,-0.008914471,0.028940977872751822,0.028940977872751822,SH600919,江苏银行,2026-04-28,0.39121994,0.3917936
20,20,SH601939,0.0190620835956063,0.8666666666666667,0.014303207,0.004758876198145363,0.004758876198145363,SH601939,建设银行,2026-04-28,0.8369185,0.8531819
21,21,SH601916,0.0184528334559152,0.6,0.002439022,0.016013811391706215,0.016013811391706215,SH601916,浙商银行,2026-04-28,0.22991283,0.2310331
22,22,SH600016,0.0175353934439014,0.7333333333333333,-0.010637462,0.02817285558303104,0.02817285558303104,SH600016,民生银行,2026-04-28,14.6216755,14.584281
23,23,SH600377,0.0167627983389023,0.8,0.006528616,0.010234182387364215,0.010234182387364215,SH600377,宁沪高速,2026-04-28,2.9327705,2.9518645
24,24,SH600011,0.0166153184254225,0.7333333333333333,-0.004308045,0.020923363335853408,0.020923363335853408,SH600011,华能国际,2026-04-28,1.0561314,1.0590669
25,25,SH600023,0.0163405896684576,0.6,-0.003496468,0.01983705773562679,0.01983705773562679,SH600023,浙能电力,2026-04-28,0.290155,0.29167682
26,26,SZ002415,0.0158286813964052,0.7333333333333333,0.04251647,-0.026687788559039135,0.026687788559039135,,,2026-04-28,2.941802,3.1133575
27,27,SH600036,0.0157908504013489,0.6,-0.005969763,0.021760613203472924,0.021760613203472924,SH600036,招商银行,2026-04-28,14.238992,14.242811
28,28,SH600660,0.0144897789025955,0.8666666666666667,-0.008923054,0.023412832644050578,0.023412832644050578,SH600660,福耀玻璃,2026-04-28,211.52411,211.84438
29,29,SH601006,0.0143160798905015,0.6666666666666666,-0.023826241,0.0381423213837266,0.0381423213837266,SH601006,大秦铁路,2026-04-28,1.2375878,1.2198726
30,30,SH600900,0.0140591568825439,0.6,0.020492554,-0.0064333968283935995,0.0064333968283935995,SH600900,长江电力,2026-04-28,10.076432,10.320029
31,31,SH601985,0.012341031778752,0.8,0.0,0.012341031778752,0.012341031778752,SH601985,中国核电,2026-04-28,0.5703287,0.5722319
32,32,SH600845,0.0121002209450674,0.7333333333333333,-0.006991625,0.01909184577722072,0.01909184577722072,SH600845,宝信软件,2026-04-28,36.359215,36.66269
33,33,SH601816,0.0120741936812508,0.5333333333333333,-0.0075047016,0.019578895295630682,0.019578895295630682,SH601816,京沪高铁,2026-04-28,0.12547295,0.1256229
34,34,SH600050,0.011654372631307,0.7333333333333333,-0.004778981,0.01643335384010827,0.01643335384010827,SH600050,中国联通,2026-04-28,1.8734032,1.8843672
35,35,SH601456,0.0103072871031826,0.5333333333333333,0.0040160418,0.00629124534750633,0.00629124534750633,SH601456,国联民生,2026-04-28,0.27589548,0.2804165
36,36,SH603195,0.0098385992201689,0.6,0.08489692,-0.07505832289134233,0.07505832289134233,SH603195,公牛集团,2026-04-28,0.06583161,0.07213652
37,37,SH600941,0.0089606080340383,0.7333333333333333,0.00085532665,0.008105281381511445,0.008105281381511445,SH600941,中国移动,2026-04-28,0.04224932,0.042496644
38,38,SH600085,0.0084855076297095,0.4666666666666667,0.013872147,-0.005386638976735813,0.005386638976735813,SH600085,同仁堂,2026-04-28,6.755757,6.945657
39,39,SH601607,0.0081551092338906,0.6,0.009414434,-0.0012593251990927982,0.0012593251990927982,SH601607,上海医药,2026-04-28,1.0978241,1.1100647
40,40,SH600600,0.008146613786178,0.5333333333333333,0.0031459332,0.005000680634932883,0.005000680634932883,SH600600,青岛啤酒,2026-04-28,2.7379637,2.7647195
41,41,SH601236,0.0075825426837696,0.6666666666666666,-0.02823013,0.035812673356224435,0.035812673356224435,SH601236,红塔证券,2026-04-28,0.44304034,0.43926468
42,42,SH601012,0.0073783976045992,0.6,-0.0054216385,0.01280003609336873,0.01280003609336873,SH601012,隆基绿能,2026-04-28,16.510277,16.640516
43,43,SH600674,0.0069889451353208,0.7333333333333333,-0.003273189,0.010262134203161376,0.010262134203161376,SH600674,川投能源,2026-04-28,68.59088,69.168915
44,44,SZ002352,0.0062084911014657,0.6666666666666666,0.007057905,-0.0008494140956778551,0.0008494140956778551,,,2026-04-28,0.50347984,0.5094936
45,45,SH601668,0.0061157840058293,0.5333333333333333,0.0017182827,0.004397501306244339,0.004397501306244339,SH601668,中国建筑,2026-04-28,0.6484605,0.65068805
46,46,SH601818,0.0060679129268215,0.4666666666666667,-0.012213767,0.01828167950168112,0.01828167950168112,SH601818,光大银行,2026-04-28,1.0135225,1.0080147
47,47,SZ002304,0.0059461871805986,0.5333333333333333,-0.011024475,0.01697066227825485,0.01697066227825485,,,2026-04-28,0.16410254,0.16427538
48,48,SH600999,0.0054258809602689,0.3333333333333333,0.003190279,0.0022356019533108923,0.0022356019533108923,SH600999,招商证券,2026-04-28,0.06716275,0.06857708
49,49,SH603019,0.0051195104728764,0.4,0.028093815,-0.022974304376977117,0.022974304376977117,SH603019,中科曙光,2026-04-28,25.951395,26.801085
50,50,SZ002074,0.0040744778731565,0.4666666666666667,-0.026748836,0.030823313913653325,0.030823313913653325,,,2026-04-28,3.595967,3.6160166
51,51,SZ300628,0.0039368056973835,0.3333333333333333,-0.007332444,0.011269249888362504,0.011269249888362504,,,2026-04-28,0.9276499,0.9284145
52,52,SH600795,0.0036852308448824,0.6666666666666666,-0.024689972,0.028375203245547684,0.028375203245547684,SH600795,国电电力,2026-04-28,38.20129,38.122795
53,53,SH600018,0.003304094036794,0.6,0.013189554,-0.009885460177683538,0.009885460177683538,SH600018,上港集团,2026-04-28,0.98221546,0.99815667
54,54,SH601618,0.0030645316113282,0.4666666666666667,-0.010416687,0.013481218146209792,0.013481218146209792,SH601618,中国中冶,2026-04-28,0.10343126,0.103721656
55,55,SH600039,0.0020983063909487,0.3333333333333333,-0.06289661,0.06499491569728415,0.06499491569728415,SH600039,四川路桥,2026-04-28,22.108864,21.983904
56,56,SH601169,0.0016539517437926,0.4,0.0,0.0016539517437926,0.0016539517437926,SH601169,北京银行,2026-04-28,0.25006434,0.25100797
57,57,SH600905,0.0013859299005183,0.5333333333333333,-0.0023041964,0.0036901262582453506,0.0036901262582453506,SH600905,三峡能源,2026-04-28,0.31482476,0.31490988
